"","id_client","id_vehicle","id_policy","id_year","pol_bonus","pol_coverage","pol_duration","pol_sit_duration","pol_pay_freq","pol_payd","pol_usage","pol_insee_code","drv_drv2","drv_age1","drv_age2","drv_sex1","drv_sex2","drv_age_lic1","drv_age_lic2","vh_age","vh_cyl","vh_din","vh_fuel","vh_make","vh_model","vh_sale_begin","vh_sale_end","vh_speed","vh_type","vh_value","vh_weight"
"1","A00000001","V01","A00000001-V01","Year 0",0.5,"Maxi",29,9,"Biannual","No","Retired","36233","No",85,0,"M","",62,0,10,1587,98,"Gasoline","PEUGEOT","306",10,9,182,"Tourism",20700,1210
"2","A00000002","V01","A00000002-V01","Year 0",0.5,"Maxi",3,1,"Biannual","No","Retired","92073","No",69,0,"M","",39,0,4,2149,170,"Diesel","MERCEDES BENZ","C220",4,2,229,"Tourism",34250,1510
"3","A00000003","V01","A00000003-V01","Year 0",0.5,"Maxi",2,2,"Yearly","No","WorkPrivate","92026","No",37,0,"M","",18,0,11,1991,150,"Gasoline","BMW","Z3",12,11,210,"Tourism",28661,1270
"4","A00000004","V01","A00000004-V01","Year 0",0.5,"Median2",22,1,"Yearly","No","WorkPrivate","78537","Yes",81,21,"M","F",54,3,16,1781,90,"Gasoline","VOLKSWAGEN","GOLF",18,15,180,"Tourism",14407,1020
"5","A00000005","V01","A00000005-V01","Year 0",0.5,"Maxi",16,4,"Biannual","No","Retired","38544","Yes",62,68,"F","M",37,48,11,1598,108,"Gasoline","RENAULT","LAGUNA",13,11,195,"Tourism",16770,1230
"6","A00000006","V01","A00000006-V01","Year 0",0.5,"Median1",5,1,"Monthly","No","WorkPrivate","76259","No",68,0,"M","",40,0,14,1769,60,"Diesel","PEUGEOT","205",28,18,155,"Tourism",11564,850
"7","A00000007","V01","A00000007-V01","Year 0",0.5,"Maxi",5,3,"Biannual","No","Retired","38547","No",77,0,"M","",55,0,7,1870,108,"Diesel","RENAULT","LAGUNA",10,6,193,"Tourism",22450,1350
"8","A00000008","V01","A00000008-V01","Year 0",0.5,"Maxi",2,2,"Biannual","No","Retired","37122","No",64,0,"M","",37,0,11,1595,101,"Gasoline","AUDI","A4",16,13,191,"Tourism",20535,1195
"9","A00000009","V01","A00000009-V01","Year 0",0.64,"Median2",5,1,"Monthly","No","WorkPrivate","83050","No",38,0,"M","",19,0,9,1997,109,"Diesel","PEUGEOT","307",9,7,183,"Tourism",23460,1260
"10","A00000010","V01","A00000010-V01","Year 0",0.5,"Maxi",26,6,"Biannual","No","WorkPrivate","74123","Yes",59,33,"M","F",41,15,6,1997,90,"Diesel","PEUGEOT","PARTNER",9,7,163,"Tourism",18550,1110
"11","A00000011","V01","A00000011-V01","Year 0",0.5,"Maxi",8,1,"Yearly","No","Retired","31557","Yes",66,32,"M","M",45,14,4,1560,90,"Diesel","PEUGEOT","308",4,3,180,"Tourism",20300,1311
"12","A00000012","V01","A00000012-V01","Year 0",0.5,"Maxi",4,4,"Yearly","No","Retired","28386","No",61,0,"M","",43,0,5,1798,127,"Gasoline","MAZDA","MX5",6,3,196,"Tourism",22450,1080
"13","A00000013","V01","A00000013-V01","Year 0",0.5,"Maxi",21,1,"Biannual","Yes","Retired","63063","No",65,0,"F","",43,0,5,999,62,"Gasoline","KIA","PICANTO",7,4,150,"Tourism",7990,910
"14","A00000014","V01","A00000014-V01","Year 0",0.5,"Maxi",25,8,"Monthly","No","Retired","62688","No",72,0,"M","",46,0,13,1905,68,"Diesel","CITROEN","XSARA",14,13,162,"Tourism",14773,1106
"15","A00000015","V01","A00000015-V01","Year 0",0.5,"Maxi",9,1,"Biannual","No","WorkPrivate","44003","Yes",38,34,"M","F",19,14,1,1560,109,"Diesel","CITROEN","C4 PICASSO",3,1,180,"Tourism",27100,1530
"16","A00000016","V01","A00000016-V01","Year 0",0.5,"Maxi",6,2,"Monthly","No","WorkPrivate","86183","Yes",54,56,"M","F",32,37,2,1248,75,"Diesel","OPEL","CORSA",5,4,163,"Tourism",14900,1141
"17","A00000017","V01","A00000017-V01","Year 0",0.5,"Maxi",6,3,"Quarterly","No","WorkPrivate","56121","No",41,0,"F","",22,0,8,1870,81,"Diesel","RENAULT","MEGANE",10,8,170,"Tourism",16300,1140
"18","A00000018","V01","A00000018-V01","Year 0",0.5,"Median2",8,3,"Monthly","No","WorkPrivate","42284","No",38,0,"M","",20,0,29,1124,51,"Gasoline","PEUGEOT","104",31,23,138,"Tourism",6933,740
"19","A00000019","V01","A00000019-V01","Year 0",0.5,"Maxi",19,4,"Biannual","No","Retired","01418","No",83,0,"M","",58,0,5,1398,68,"Diesel","CITROEN","C3",9,1,158,"Tourism",18150,1058
"20","A00000020","V01","A00000020-V01","Year 0",0.5,"Median2",23,15,"Monthly","No","WorkPrivate","60103","No",56,0,"F","",32,0,22,1905,71,"Diesel","PEUGEOT","405",23,19,165,"Tourism",15535,1080
"21","A00000021","V01","A00000021-V01","Year 0",0.5,"Median2",1,1,"Yearly","No","WorkPrivate","88209","Yes",44,44,"F","M",20,26,8,1997,136,"Gasoline","PEUGEOT","307",8,6,207,"Tourism",25350,1460
"22","A00000022","V01","A00000022-V01","Year 0",0.68,"Median2",11,2,"Biannual","No","WorkPrivate","01140","Yes",40,41,"M","F",20,23,16,1794,96,"Gasoline","RENAULT","R19",19,17,181,"Tourism",15931,940
"23","A00000023","V01","A00000023-V01","Year 0",0.5,"Maxi",12,4,"Biannual","No","Retired","64102","No",74,0,"M","",45,0,7,1896,116,"Diesel","FORD","GALAXY",11,5,181,"Tourism",32900,1760
"24","A00000024","V01","A00000024-V01","Year 0",0.5,"Maxi",11,2,"Biannual","No","Professional","91345","Yes",59,36,"F","F",39,18,11,1689,90,"Diesel","MERCEDES BENZ","A170",13,10,172,"Tourism",21724,1065
"25","A00000025","V01","A00000025-V01","Year 0",0.65,"Maxi",16,1,"Yearly","No","Retired","38318","No",71,0,"F","",41,0,2,1560,90,"Diesel","CITROEN","C3 PICASSO",2,1,173,"Tourism",19350,1289
"26","A00000026","V01","A00000026-V01","Year 0",0.57,"Median2",1,1,"Monthly","No","WorkPrivate","63180","No",33,0,"M","",13,0,10,2497,164,"Diesel","BMW","525",11,10,219,"Tourism",41162,1575
"27","A00000027","V01","A00000027-V01","Year 0",0.5,"Median2",11,3,"Yearly","No","WorkPrivate","83069","Yes",60,55,"M","F",40,35,10,1995,116,"Diesel","TOYOTA","AVENSIS",10,10,180,"Tourism",25901,1645
"28","A00000028","V01","A00000028-V01","Year 0",0.6,"Mini",1,1,"Monthly","No","WorkPrivate","17300","No",31,0,"F","",12,0,16,1896,90,"Diesel","AUDI","A4",16,13,183,"Tourism",23066,1240
"29","A00000029","V01","A00000029-V01","Year 0",0.5,"Mini",4,1,"Biannual","No","Professional","08328","No",40,0,"M","",22,0,16,2446,86,"Diesel","CITROEN","JUMPER",17,9,132,"Commercial",24615,0
"30","A00000030","V01","A00000030-V01","Year 0",0.5,"Maxi",7,1,"Biannual","No","WorkPrivate","78003","Yes",50,23,"F","M",30,4,6,1399,68,"Diesel","FORD","FUSION",9,1,158,"Tourism",14640,1102
"31","A00000031","V01","A00000031-V01","Year 0",0.5,"Maxi",2,2,"Monthly","No","WorkPrivate","78372","Yes",46,41,"M","F",26,14,2,1598,120,"Gasoline","PEUGEOT","207",4,2,200,"Tourism",19550,1352
"32","A00000032","V01","A00000032-V01","Year 0",0.5,"Maxi",4,2,"Biannual","No","WorkPrivate","83138","No",42,0,"F","",24,0,2,1461,86,"Diesel","RENAULT","MEGANE",3,1,175,"Tourism",19900,1215
"33","A00000033","V01","A00000033-V01","Year 0",0.5,"Maxi",24,2,"Yearly","No","Retired","10297","No",72,0,"M","",47,0,3,1461,86,"Diesel","RENAULT","CLIO",6,4,174,"Tourism",17450,1175
"34","A00000034","V01","A00000034-V01","Year 0",0.54,"Mini",1,1,"Monthly","No","WorkPrivate","57751","No",33,0,"M","",13,0,13,2494,170,"Gasoline","BMW","323 I",13,11,231,"Tourism",31253,1445
"35","A00000035","V01","A00000035-V01","Year 0",0.5,"Maxi",4,3,"Monthly","No","WorkPrivate","50602","Yes",41,31,"M","F",19,6,4,1461,68,"Diesel","DACIA","LOGAN",5,3,150,"Tourism",12240,1245
"36","A00000036","V01","A00000036-V01","Year 0",0.5,"Median2",19,1,"Biannual","Yes","Retired","62043","No",79,0,"F","",47,0,14,1905,68,"Diesel","CITROEN","XSARA",14,13,162,"Tourism",14773,1106
"37","A00000037","V01","A00000037-V01","Year 0",0.5,"Median1",20,3,"Yearly","No","Retired","59286","No",59,0,"M","",41,0,9,1870,82,"Diesel","RENAULT","MASTER",10,8,131,"Commercial",21050,0
"38","A00000038","V01","A00000038-V01","Year 0",0.5,"Maxi",27,2,"Monthly","No","Retired","69264","No",76,0,"F","",45,0,11,1242,60,"Gasoline","FIAT","PUNTO",12,9,155,"Tourism",9940,875
"39","A00000039","V01","A00000039-V01","Year 0",0.5,"Maxi",3,3,"Yearly","No","WorkPrivate","25056","Yes",49,51,"F","M",31,33,10,1870,98,"Diesel","RENAULT","ESPACE",12,11,167,"Tourism",27441,1555
"40","A00000040","V01","A00000040-V01","Year 0",0.64,"Maxi",2,2,"Yearly","No","WorkPrivate","78455","No",32,0,"F","",11,0,7,1398,68,"Diesel","CITROEN","C3",9,1,158,"Tourism",18150,1058
"41","A00000041","V01","A00000041-V01","Year 0",0.64,"Maxi",8,3,"Quarterly","No","WorkPrivate","71176","No",27,0,"F","",8,0,3,1086,66,"Gasoline","KIA","PICANTO",7,4,154,"Tourism",10050,910
"42","A00000042","V01","A00000042-V01","Year 0",0.5,"Mini",4,3,"Yearly","No","Retired","38543","No",75,0,"M","",57,0,10,2496,180,"Diesel","AUDI","A6",11,7,219,"Tourism",44380,1680
"43","A00000042","V02","A00000042-V02","Year 0",0.5,"Mini",4,3,"Yearly","No","Retired","38543","No",75,0,"M","",57,0,25,2445,73,"Diesel","RENAULT","B70",25,21,112,"Commercial",21552,0
"44","A00000042","V03","A00000042-V03","Year 0",0.5,"Mini",4,3,"Yearly","No","Retired","38543","No",75,0,"M","",57,0,24,1324,67,"Gasoline","SUZUKI","SJ 413",26,22,135,"Commercial",12591,1330
"45","A00000043","V01","A00000043-V01","Year 0",0.5,"Maxi",5,1,"Monthly","No","WorkPrivate","79195","No",36,0,"F","",17,0,3,1560,109,"Diesel","CITROEN","C4 PICASSO",4,3,180,"Tourism",27000,1499
"46","A00000043","V02","A00000043-V02","Year 0",0.5,"Median2",5,1,"Monthly","No","WorkPrivate","79195","Yes",37,36,"M","F",18,17,15,1905,70,"Diesel","PEUGEOT","EXPERT",16,14,138,"Commercial",17356,0
"47","A00000044","V01","A00000044-V01","Year 0",0.5,"Maxi",17,1,"Yearly","Yes","Retired","80368","No",63,0,"M","",42,0,16,954,51,"Gasoline","CITROEN","AX",19,18,149,"Tourism",8004,1140
"48","A00000045","V01","A00000045-V01","Year 0",0.5,"Mini",1,1,"Biannual","No","WorkPrivate","93066","No",53,0,"M","",31,0,14,954,51,"Gasoline","CITROEN","SAXO",15,13,149,"Commercial",8513,805
"49","A00000046","V01","A00000046-V01","Year 0",0.5,"Median2",2,2,"Yearly","No","WorkPrivate","59160","No",47,0,"M","",29,0,12,1868,70,"Diesel","CITROEN","JUMPY",13,8,138,"Commercial",17342,0
"50","A00000047","V01","A00000047-V01","Year 0",0.72,"Median2",10,7,"Monthly","No","WorkPrivate","37233","No",65,0,"M","",10,0,15,2068,94,"Diesel","RENAULT","ESPACE",16,14,167,"Tourism",30460,1380
"51","A00000048","V01","A00000048-V01","Year 0",0.5,"Mini",1,1,"Quarterly","No","WorkPrivate","56007","No",41,0,"F","",23,0,19,1391,60,"Gasoline","VOLKSWAGEN","GOLF",20,18,156,"Tourism",11552,960
"52","A00000049","V01","A00000049-V01","Year 0",0.5,"Mini",11,3,"Monthly","No","Professional","95424","No",56,0,"M","",24,0,20,1971,78,"Gasoline","CITROEN","C25",24,21,124,"Commercial",11761,0
"53","A00000050","V01","A00000050-V01","Year 0",0.5,"Maxi",6,4,"Monthly","No","Retired","58232","Yes",62,57,"M","F",43,30,8,1997,109,"Diesel","CITROEN","XSARA",10,9,193,"Tourism",20250,1216
"54","A00000051","V01","A00000051-V01","Year 0",0.5,"Median1",12,1,"Monthly","Yes","Retired","40222","No",80,0,"M","",58,0,22,1397,68,"Gasoline","RENAULT","SUPERCINQ",24,21,154,"Tourism",13828,730
"55","A00000052","V01","A00000052-V01","Year 0",0.54,"Mini",5,2,"Yearly","No","WorkPrivate","64140","Yes",32,35,"F","M",11,16,19,1769,60,"Diesel","PEUGEOT","205",28,18,155,"Tourism",12867,880
"56","A00000052","V02","A00000052-V02","Year 0",0.54,"Maxi",2,2,"Yearly","No","WorkPrivate","64140","Yes",35,32,"M","F",16,11,11,2497,164,"Diesel","BMW","525",11,10,219,"Tourism",37046,1575
"57","A00000053","V01","A00000053-V01","Year 0",0.5,"Maxi",12,8,"Yearly","No","Retired","83118","No",78,0,"M","",54,0,13,1396,90,"Gasoline","HONDA","CIVIC",17,15,172,"Tourism",14011,1090
"58","A00000054","V01","A00000054-V01","Year 0",0.8,"Median1",3,3,"Yearly","No","WorkPrivate","16078","No",31,0,"F","",13,0,17,1905,71,"Diesel","PEUGEOT","405",23,19,165,"Tourism",15535,1080
"59","A00000055","V01","A00000055-V01","Year 0",0.5,"Maxi",5,5,"Monthly","No","WorkPrivate","51303","No",64,0,"F","",31,0,5,1086,66,"Gasoline","KIA","PICANTO",7,4,154,"Tourism",10050,910
"60","A00000056","V01","A00000056-V01","Year 0",0.64,"Median2",2,2,"Monthly","No","WorkPrivate","11262","Yes",45,43,"M","F",25,22,10,1753,90,"Diesel","FORD","FOCUS",12,9,184,"Tourism",18320,1277
"61","A00000057","V01","A00000057-V01","Year 0",0.5,"Maxi",1,1,"Yearly","No","WorkPrivate","06092","No",36,0,"F","",17,0,7,1560,109,"Diesel","PEUGEOT","307",7,6,192,"Tourism",19750,1512
"62","A00000058","V01","A00000058-V01","Year 0",0.5,"Mini",1,1,"Biannual","No","WorkPrivate","85300","No",56,0,"M","",37,0,20,2299,81,"Diesel","MERCEDES BENZ","408",22,16,138,"Commercial",32000,0
"63","A00000059","V01","A00000059-V01","Year 0",0.5,"Maxi",4,1,"Biannual","No","WorkPrivate","01367","Yes",51,54,"F","M",28,35,12,1783,116,"Gasoline","RENAULT","LAGUNA",12,11,203,"Tourism",19971,1265
"64","A00000060","V01","A00000060-V01","Year 0",0.5,"Maxi",5,2,"Monthly","No","WorkPrivate","59009","No",43,0,"F","",23,0,5,1386,89,"Gasoline","NISSAN","MICRA",6,3,174,"Tourism",16400,1135
"65","A00000061","V01","A00000061-V01","Year 0",1.12,"Maxi",2,2,"Yearly","No","WorkPrivate","91333","No",26,0,"F","",6,0,2,1422,81,"Diesel","SEAT","IBIZA",3,1,170,"Tourism",16090,1075
"66","A00000062","V01","A00000062-V01","Year 0",0.57,"Median2",12,2,"Biannual","No","WorkPrivate","01350","No",39,0,"F","",19,0,10,1870,102,"Diesel","RENAULT","SCENIC",11,10,174,"Tourism",20124,1290
"67","A00000063","V01","A00000063-V01","Year 0",0.5,"Median2",26,1,"Yearly","Yes","WorkPrivate","55029","No",55,0,"M","",32,0,26,1108,32,"Gasoline","RENAULT","R4 F6",29,26,110,"Commercial",6324,1220
"68","A00000064","V01","A00000064-V01","Year 0",0.5,"Maxi",25,2,"Biannual","No","Retired","77386","Yes",65,78,"F","M",41,45,3,1598,112,"Gasoline","RENAULT","CLIO",6,5,186,"Tourism",15850,1180
"69","A00000065","V01","A00000065-V01","Year 0",0.5,"Maxi",1,1,"Yearly","No","Retired","11322","No",61,0,"M","",40,0,2,2231,177,"Diesel","LEXUS","IS 220",5,2,220,"Tourism",39600,1587
"70","A00000066","V01","A00000066-V01","Year 0",0.5,"Maxi",7,1,"Monthly","No","WorkPrivate","76217","No",50,0,"M","",31,0,1,1461,64,"Diesel","RENAULT","TWINGO",4,1,164,"Tourism",12650,980
"71","A00000067","V01","A00000067-V01","Year 0",0.5,"Maxi",24,12,"Yearly","No","Retired","78362","No",84,0,"M","",59,0,12,1870,98,"Diesel","RENAULT","LAGUNA",13,11,185,"Tourism",18752,1310
"72","A00000068","V01","A00000068-V01","Year 0",0.5,"Maxi",13,1,"Yearly","No","WorkPrivate","42187","No",54,0,"M","",32,0,1,1461,86,"Diesel","DACIA","LOGAN",3,1,161,"Tourism",12700,1205
"73","A00000069","V01","A00000069-V01","Year 0",0.5,"Median2",3,3,"Biannual","No","WorkPrivate","64422","Yes",53,26,"M","F",32,6,38,1285,44,"Gasoline","VOLKSWAGEN","COCCINELLE",39,38,125,"Tourism",2266,870
"74","A00000069","V02","A00000069-V02","Year 0",0.5,"Median2",3,3,"Biannual","No","WorkPrivate","64422","No",53,0,"M","",32,0,18,1905,71,"Diesel","CITROEN","C25",22,17,123,"Commercial",18401,0
"75","A00000070","V01","A00000070-V01","Year 0",0.5,"Maxi",1,1,"Biannual","No","WorkPrivate","91114","Yes",53,52,"M","F",33,33,1,1149,75,"Gasoline","RENAULT","TWINGO",3,1,169,"Tourism",10150,955
"76","A00000071","V01","A00000071-V01","Year 0",0.5,"Median2",31,2,"Yearly","No","WorkPrivate","39097","Yes",66,30,"F","M",41,12,5,1461,86,"Diesel","RENAULT","MEGANE",6,5,174,"Tourism",18700,1235
"77","A00000072","V01","A00000072-V01","Year 0",0.63,"Maxi",7,1,"Biannual","No","WorkPrivate","95203","No",51,0,"F","",24,0,4,1560,109,"Diesel","PEUGEOT","207",4,1,193,"Tourism",20550,1275
"78","A00000073","V01","A00000073-V01","Year 0",0.5,"Median2",20,4,"Yearly","No","WorkPrivate","68300","No",43,0,"M","",25,0,16,1389,90,"Gasoline","OPEL","TIGRA",17,11,190,"Tourism",14011,976
"79","A00000074","V01","A00000074-V01","Year 0",0.5,"Maxi",1,1,"Yearly","No","AllTrips","10323","No",60,0,"F","",41,0,3,1391,68,"Diesel","CITROEN","C2",5,3,166,"Tourism",14300,1003
"80","A00000075","V01","A00000075-V01","Year 0",0.5,"Mini",1,1,"Yearly","No","WorkPrivate","80082","No",46,0,"F","",20,0,15,954,51,"Gasoline","CITROEN","AX",19,18,149,"Tourism",8004,1140
"81","A00000076","V01","A00000076-V01","Year 0",0.5,"Maxi",26,3,"Monthly","No","WorkPrivate","22389","No",81,0,"F","",54,0,13,1242,75,"Gasoline","FORD","FIESTA",13,11,170,"Tourism",10428,940
"82","A00000077","V01","A00000077-V01","Year 0",0.5,"Maxi",26,2,"Yearly","No","Retired","28419","Yes",86,86,"F","F",41,45,12,1527,58,"Diesel","PEUGEOT","106",13,10,158,"Tourism",10748,895
"83","A00000078","V01","A00000078-V01","Year 0",0.57,"Median2",1,1,"Yearly","No","Professional","44047","No",58,0,"M","",38,0,10,2476,101,"Diesel","HYUNDAI","GALLOPER",12,10,140,"Tourism",22853,2095
"84","A00000079","V01","A00000079-V01","Year 0",0.5,"Maxi",14,12,"Biannual","No","Professional","75101","No",56,0,"M","",32,0,18,3198,200,"Gasoline","JAGUAR","XJ6",21,17,211,"Tourism",45165,1820
"85","A00000080","V01","A00000080-V01","Year 0",0.5,"Maxi",9,1,"Monthly","No","WorkPrivate","30189","Yes",51,49,"M","F",30,14,5,1598,113,"Gasoline","RENAULT","MEGANE",9,6,192,"Tourism",18200,1175
"86","A00000081","V01","A00000081-V01","Year 0",0.5,"Maxi",14,1,"Yearly","Yes","Retired","59526","No",84,0,"F","",59,0,13,1124,60,"Gasoline","CITROEN","SAXO",15,11,162,"Tourism",8919,805
"87","A00000082","V01","A00000082-V01","Year 0",0.5,"Median2",16,6,"Biannual","No","Retired","44006","No",82,0,"F","",47,0,15,1124,60,"Gasoline","CITROEN","AX",18,17,167,"Tourism",9452,691
"88","A00000083","V01","A00000083-V01","Year 0",0.5,"Maxi",1,1,"Monthly","No","WorkPrivate","2A032","Yes",57,19,"M","F",36,1,6,998,68,"Gasoline","CITROEN","C1",6,2,157,"Tourism",9850,845
"89","A00000084","V01","A00000084-V01","Year 0",0.5,"Median2",23,5,"Yearly","No","Professional","24037","No",62,0,"M","",44,0,26,2446,75,"Diesel","TOYOTA","HI LUX",27,21,130,"Commercial",18668,2415
"90","A00000084","V02","A00000084-V02","Year 0",0.5,"Median2",18,5,"Yearly","No","Professional","24037","No",38,0,"F","",20,0,16,1171,60,"Gasoline","RENAULT","CLIO",19,15,155,"Tourism",11831,820
"91","A00000085","V01","A00000085-V01","Year 0",0.5,"Maxi",10,1,"Yearly","No","WorkPrivate","92012","Yes",55,24,"F","M",36,2,12,999,51,"Gasoline","VOLKSWAGEN","LUPO",13,11,152,"Tourism",9681,898
"92","A00000086","V01","A00000086-V01","Year 0",0.5,"Median2",13,1,"Yearly","Yes","WorkPrivate","92071","No",66,0,"F","",36,0,11,1598,101,"Gasoline","OPEL","ZAFIRA",12,9,176,"Tourism",19400,1300
"93","A00000087","V01","A00000087-V01","Year 0",0.6,"Mini",10,2,"Biannual","No","WorkPrivate","83042","No",44,0,"M","",18,0,16,1769,60,"Diesel","CITROEN","C15",27,13,134,"Commercial",12190,1530
"94","A00000088","V01","A00000088-V01","Year 0",0.5,"Maxi",3,1,"Yearly","No","WorkPrivate","92020","Yes",36,33,"M","F",15,13,4,1560,90,"Diesel","PEUGEOT","207",5,4,182,"Tourism",18750,1205
"95","A00000089","V01","A00000089-V01","Year 0",0.5,"Maxi",2,2,"Yearly","No","WorkPrivate","62126","Yes",49,47,"M","F",15,29,8,799,41,"Diesel","SMART","CABRIO",8,8,135,"Tourism",14540,720
